URL,Product Name,Selling Price,MRP,Discount,Image URL,Rating,Review Count,Brand,Features
https://www.amazon.in/iQOO-Lite-Cyber-Green-Storage/dp/B0H1JGWF81/ref=sr_1_1,"iQOO Z10 Lite 5G (Cyber Green 2026, 4GB RAM, 64GB Storage)",₹14999.,"₹4,47,000.00",46%,https://m.media-amazon.com/images/I/61ImCLk1sqL._SL1200_.jpg,4.2 out of 5 stars,"(7,645)",iQOO,"Segment's biggest battery 5G smartphone* - Powered by a massive 6000mAh battery & 15W FlashCharge, keeping you ahead of the day with uninterrupted energy for entertainment, work, and everything in between | Dimensity 6300 5G Processor with 433K+* AnTuTu Score - A highly power efficient 6nm chip with CPU speeds upgraded to reach 2.4 GHz delivering a lag-free everyday experience with low power consumption. | IP64 Rated & Military Grade Shock-Resistance* - Fearless against the dust, rain, Forging Ahead. No need to worry about unexpected splashes in life with IP64 protection. Also, enjoy Protection from accidental drops from pockets or desks with Military grade shock resistance. | 50MP Sony AI Camera - Snap stunning photos with advanced AI features like AI erase, AI Photo enhance, AI document mode & many more. | 1000 nits High Brightness Display - Enjoy the ultimate viewing experience with 6.74"" (17.13 cm) Large display, 90Hz Refresh Rate & 1000 nits High brightness mode"
https://www.amazon.in/iQOO-Lite-Cyber-Green-Storage/dp/B0H1JG89ZB/ref=cs_sr_dp_2,"iQOO Z10 Lite 5G (Titanium Blue 2026, 4GB RAM, 64GB Storage)",₹14999.,"₹4,47,000.00",46%,https://m.media-amazon.com/images/I/613RKG4NCgL._SL1200_.jpg,4.2 out of 5 stars,"(7,645)",iQOO,"Segment's biggest battery 5G smartphone* - Powered by a massive 6000mAh battery & 15W FlashCharge, keeping you ahead of the day with uninterrupted energy for entertainment, work, and everything in between | Dimensity 6300 5G Processor with 433K+* AnTuTu Score - A highly power efficient 6nm chip with CPU speeds upgraded to reach 2.4 GHz delivering a lag-free everyday experience with low power consumption. | IP64 Rated & Military Grade Shock-Resistance* - Fearless against the dust, rain, Forging Ahead. No need to worry about unexpected splashes in life with IP64 protection. Also, enjoy Protection from accidental drops from pockets or desks with Military grade shock resistance. | 50MP Sony AI Camera - Snap stunning photos with advanced AI features like AI erase, AI Photo enhance, AI document mode & many more. | 1000 nits High Brightness Display - Enjoy the ultimate viewing experience with 6.74"" (17.13 cm) Large display, 90Hz Refresh Rate & 1000 nits High brightness mode"
https://www.amazon.in/MediaTek-Dimensity-7540mAh-Battery-HyperCharge/dp/B0H293SFTR/ref=sr_1_3,REDMI Turbo 5 (8GB + 256GB) Turbo White | MediaTek Dimensity 8500 Ultra | Mega 7540mAh Battery | 100W HyperCharge | Compact 16.75cm(6.9) 120Hz Display | 50MP Sony OIS Camera | Upto 60% Assured Buyback,₹37999.,"₹4,47,000.00",31%,https://m.media-amazon.com/images/I/71-soe9ImCL._SL1500_.jpg,Previous page,N/A,XIAOMI,"Flagship Performance Chipset: Powered by the MediaTek Dimensity 8500-Ultra (TSMC 4nm process, up to 3.4GHz) and an advanced REDMI 3D Ice-Loop Cooling Technology. It runs seamlessly on the next-gen Xiaomi HyperOS 3 with up to 12GB LPDDR5X RAM (Expandable up to 24GB) and 256GB UFS 4.1 storage | Revolutionary Battery & Charging: Features a massive 7540mAh Silicon-Carbon battery with 100W Xiaomi Hypercharge and 27W wired reverse charging to power other devices on the go | Stunning Sunlight Display: A compact 16.75cm (6.59) ultra-narrow bezel 1.5K AMOLED display with a fluid 120Hz refresh rate, a blinding 3500 nits peak brightness, and Xiaomi Premium Eye Protection（ TUV Eye-protection Certified). One of the only displays in the segment to house a 12-bit display supporting 68Bn+ Colours | Sony Pro Camera: Capture perfection with the 50MP Sony large-aperture main camera (IMX882, f/1.5, OIS), an 8MP ultra-wide lens, and a 20MP HD Selfie shooter. TurboSnap Burst mode - up to 100 pictures captured in 4.4s | Ultimate Durability: Built to withstand the elements with advanced IP66, IP68, IP69, and IP69K water and dust resistance. Aero-space Grade Metal Frame with Corning️ Gorilla️ Glass 7i Protection"
https://www.amazon.in/MediaTek-Dimensity-7540mAh-Battery-HyperCharge/dp/B0H297XH3K/ref=cs_sr_dp_2,REDMI Turbo 5 (8GB + 256GB) Asphalt Black | Dimensity 8500 Ultra | Mega 7540mAh Battery | 100W HyperCharge | Compact 16.75cm(6.59) 120Hz AMOLED Screen | 50MP Sony OIS Camera | Upto 60% Assured Buyback,₹37999.,"₹4,47,000.00",31%,https://m.media-amazon.com/images/I/71bLajf7zqL._SL1500_.jpg,Previous page,N/A,XIAOMI,"Flagship Performance Chipset: Powered by the MediaTek Dimensity 8500-Ultra (TSMC 4nm process, up to 3.4GHz) and an advanced REDMI 3D Ice-Loop Cooling Technology. It runs seamlessly on the next-gen Xiaomi HyperOS 3 with up to 12GB LPDDR5X RAM (Expandable up to 24GB) and 256GB UFS 4.1 storage | Revolutionary Battery & Charging: Features a massive 7540mAh Silicon-Carbon battery with 100W Xiaomi Hypercharge and 27W wired reverse charging to power other devices on the go | Stunning Sunlight Display: A compact 16.75cm (6.59) ultra-narrow bezel 1.5K AMOLED display with a fluid 120Hz refresh rate, a blinding 3500 nits peak brightness, and Xiaomi Premium Eye Protection（ TUV Eye-protection Certified). One of the only displays in the segment to house a 12-bit display supporting 68Bn+ Colours | Sony Pro Camera: Capture perfection with the 50MP Sony large-aperture main camera (IMX882, f/1.5, OIS), an 8MP ultra-wide lens, and a 20MP HD Selfie shooter. TurboSnap Burst mode - up to 100 pictures captured in 4.4s | Ultimate Durability: Built to withstand the elements with advanced IP66, IP68, IP69, and IP69K water and dust resistance. Aero-space Grade Metal Frame with Corning️ Gorilla️ Glass 7i Protection"
https://www.amazon.in/MediaTek-Dimensity-7540mAh-Battery-HyperCharge/dp/B0H29F8M8J/ref=cs_sr_dp_3,REDMI Turbo 5 (8GB + 256GB) Nitro Blue | Dimensity 8500 Ultra | Mega 7540mAh Battery | 100W HyperCharge | Compact 16.75cm(6.59) 120Hz AMOLED Screen | 50MP Sony OIS Camera | Upto 60% Assured Buyback,₹37999.,"₹4,47,000.00",31%,https://m.media-amazon.com/images/I/714e05N5QoL._SL1500_.jpg,Previous page,N/A,XIAOMI,"Flagship Performance Chipset: Powered by the MediaTek Dimensity 8500-Ultra (TSMC 4nm process, up to 3.4GHz) and an advanced REDMI 3D Ice-Loop Cooling Technology. It runs seamlessly on the next-gen Xiaomi HyperOS 3 with up to 12GB LPDDR5X RAM (Expandable up to 24GB) and 256GB UFS 4.1 storage | Revolutionary Battery & Charging: Features a massive 7540mAh Silicon-Carbon battery with 100W Xiaomi Hypercharge and 27W wired reverse charging to power other devices on the go | Stunning Sunlight Display: A compact 16.75cm (6.59) ultra-narrow bezel 1.5K AMOLED display with a fluid 120Hz refresh rate, a blinding 3500 nits peak brightness, and Xiaomi Premium Eye Protection（ TUV Eye-protection Certified). One of the only displays in the segment to house a 12-bit display supporting 68Bn+ Colours | Sony Pro Camera: Capture perfection with the 50MP Sony large-aperture main camera (IMX882, f/1.5, OIS), an 8MP ultra-wide lens, and a 20MP HD Selfie shooter. TurboSnap Burst mode - up to 100 pictures captured in 4.4s | Ultimate Durability: Built to withstand the elements with advanced IP66, IP68, IP69, and IP69K water and dust resistance. Aero-space Grade Metal Frame with Corning️ Gorilla️ Glass 7i Protection"
https://www.amazon.in/Motorola-Pantone-Silhouette-Snapdragon-TurboPower/dp/B0GRMVNTDN/ref=sr_1_4,"Motorola Edge 70 Fusion (Pantone Silhouette, 8GB RAM, 128GB Storage) | 6.78"" 1.5K 144Hz AMOLED Display | Snapdragon 7s Gen 4 | 50MP Sony LYTIA 710 OIS Camera | 7000mAh Battery | 68W TurboPower |",₹26585.,N/A,38%,https://m.media-amazon.com/images/I/41ScDr67t5L.jpg,4.1 out of 5 stars,(79),Motorola,6.78″ 144 Hz AMOLED Display – Super HD + HDR10+ panel with up to 5200 nits peak brightness for vibrant visuals.
https://www.amazon.in/Motorola-Pantone-Silhouette-Snapdragon-TurboPower/dp/B0H4Z3KZSW/ref=cs_sr_dp_2,"Motorola Edge 70 Pro+ 5G (Sculpted Wood Pantone Chicory Coffee Brown, 12GB RAM, 256GB Storage) | Dimensity 8500 Extreme Processor | 50MP + 50MP + 50MP Triple AI Camera |6.8"" pOLED Display|",₹48999.,N/A,N/A,https://m.media-amazon.com/images/I/71CP3g7EobL._SL1440_.jpg,Previous page,N/A,Motorola,"FLAGSHIP DIMENSITY 8500 EXTREME PROCESSOR: Powerful Octa-Core chipset with up to 3.4GHz clock speed for gaming, multitasking, streaming, and high-speed 5G performance | 12GB RAM + 256GB STORAGE: Smooth app switching, efficient multitasking, and ample space for photos, videos, games, applications, and files | 50MP + 50MP + 50MP TRIPLE CAMERA SYSTEM: Capture stunning photos, detailed portraits, wide-angle shots, and professional-quality content with advanced camera technology | 50MP FRONT CAMERA: High-resolution selfies, crystal-clear video calls, and content creation with enhanced clarity and detail | 6.8-INCH IMMERSIVE pOLED DISPLAY: Enjoy vibrant visuals, rich colors, sharp details, and an engaging viewing experience for entertainment and productivity | 6500mAh BATTERY: Long-lasting battery performance designed for gaming, streaming, communication, and all-day usage | PREMIUM SCULPTED WOOD DESIGN: Distinctive PANTONE Chicory Coffee Brown finish combining luxury craftsmanship with modern aesthetics and comfortable ergonomics | 5G CONNECTIVITY: Experience ultra-fast download and upload speeds, seamless streaming, and responsive online gaming with advanced 5G network support"
https://www.amazon.in/Motorola-Pantone-Silhouette-Snapdragon-TurboPower/dp/B0GQ75LDSZ/ref=cs_sr_dp_3,"Motorola Edge 70 Pro+ 5G (Twill Inspired Pantone Stormy Sea Green, 12GB RAM, 256GB Storage) | Dimensity 8500 Extreme Processor | 50MP + 50MP + 50MP Triple AI Camera |6.8"" pOLED Display|",₹48999.,N/A,42%,https://m.media-amazon.com/images/I/61g-mMPHgRL._SL1000_.jpg,Previous page,N/A,Motorola,"DIMENSITY 8500 EXTREME PERFORMANCE: Powerful Octa-Core processor with up to 3.4GHz clock speed for gaming, multitasking, streaming, and ultra-fast 5G connectivity | 12GB RAM + 256GB STORAGE: Experience seamless multitasking and store thousands of photos, videos, apps, games, and important files with ease | 50MP + 50MP + 50MP TRIPLE CAMERA SYSTEM: Capture professional-quality photos with advanced imaging technology, enhanced detail, and versatile shooting modes | 50MP FRONT CAMERA: High-resolution selfies, video calls, and content creation with impressive clarity and natural color reproduction | 6.8-INCH IMMERSIVE pOLED DISPLAY: Enjoy vibrant visuals, deep contrast, sharp details, and an enhanced viewing experience for entertainment and productivity | 6500mAh BATTERY: Long-lasting battery life designed to support gaming, streaming, communication, and everyday usage without frequent charging | PREMIUM DESIGN: Twill Inspired finish in sophisticated PANTONE Stormy Sea Green color delivers elegant aesthetics and premium craftsmanship for a distinctive look"
https://www.amazon.in/Motorola-Pantone-Silhouette-Snapdragon-TurboPower/dp/B0H4YYLSVN/ref=cs_sr_dp_4,"Motorola Edge 70 Pro+ 5G (Satin-Luxe Pantone Zinfandel Maroon, 12GB RAM, 256GB Storage) | Dimensity 8500 Extreme Processor | 50MP + 50MP + 50MP Triple AI Camera |6.8"" FHD+ pOLED Display|",₹48999.,"₹14,99,900.00",N/A,https://m.media-amazon.com/images/I/61kq+HxjJRL._SL1440_.jpg,Previous page,N/A,Motorola,"FLAGSHIP PERFORMANCE: MediaTek Dimensity 8500 Extreme Octa-Core processor with up to 3.4GHz clock speed delivers ultra-fast performance for gaming, multitasking, streaming, and 5G connectivity. | 12GB RAM + 256GB STORAGE: Enjoy seamless multitasking and store thousands of photos, videos, applications, games, and important documents with ample storage capacity. | 50MP + 50MP + 50MP TRIPLE CAMERA SYSTEM: Capture stunning photos, detailed portraits, wide-angle shots, and professional-quality images with Motorola's advanced camera technology. | 50MP HIGH-RESOLUTION SELFIE CAMERA: Create detailed selfies, high-quality video calls, and social media content with enhanced clarity and vibrant color reproduction. | 6.8-INCH IMMERSIVE pOLED DISPLAY: Enjoy vibrant visuals, sharp details, deep contrast, and an engaging viewing experience for entertainment, gaming, and productivity. | 6500mAh LONG-LASTING BATTERY: Stay connected longer with a powerful battery designed to support extended gaming, streaming, productivity, and everyday usage."
https://www.amazon.in/OnePlus-Snapdragon-Segments-Fastest-Response/dp/B0GWLV615M/ref=sr_1_5,"OnePlus Nord CE6 | 8GB+256GB | Lunar Pearl | Snapdragon 7s Gen 4 | Segment's Fastest Touch Response | 8000mAh Battery | 144Hz 1.5K AMOLED Display | 50MP Main + 32MP Selfie 4K Cameras | IP66,68,69,69K",₹36999.,"₹19,900.00",16%,https://m.media-amazon.com/images/I/61XS3YRaPsL._SL1500_.jpg,4.2 out of 5 stars,"(1,092)",OnePlus,"Supercharged by Snapdragon 7s Gen 4 (Antutu 1.17 million+): Engineered for snappy-smooth performance, OnePlus Nord CE6 unleashes up to 144 FPS gameplay in optimised titles. Experience up to 6 hours of steady BGMI sessions with consistent, high-speed performance that never compromises. | Segment's Fastest Touch Response: Built for ultra-responsive gameplay, OnePlus Nord CE6 delivers industry-leading 3200Hz instant touch sampling rate, ensuring faster inputs, precise control, and a competitive edge in every move. | 8000mAh “2.5+ Days"" Battery: Experience 10 hours of BGMI, 17.5 hours of GPS, or 30 hours of streaming on a single charge. It doubles as a power bank to charge anything via 27W reverse charging, while 80W SUPERVOOC gets you back in action with hours of use from just minutes of charging. | 144Hz 1.5K AMOLED Display: Enjoy ultra-fluid scrolling and gameplay with a 144Hz refresh rate for seamless interaction. From being crystal-clear in direct sunlight (1800 nits HBM) to being gentle on your eyes at night (3840Hz high-frequency PWM), this display is designed for unmatched clarity, day or night. | 4K Front and Back Clarity: 50MP 4K main camera with dual-axis OIS for stable, detailed shots and videos. 32MP 4K selfie camera with autofocus and 90° wide-angle capture for perfect groufies, even in low light. Elevate your photos with OnePlus AI like AI Portrait Glow, AI Perfect Shot, AI Eraser, AI Unblur, and more. | Military-grade Durability with IP66,68,69,69K: Certified with the industry's most complete IP ratings, the Nord CE6 is built to resist deep immersion, hot water, and high-pressure jets. It has passed rigorous american military-grade standards, proven to survive being burnt, frozen, salt-corroded, and dropped over 25 times onto steel surfaces for total reliability. | Smoothness for 6 Years, Built to Last: Powered by the latest OxygenOS 16, the Nord CE6 stays fast and smooth for work, study, and play. With a Rated A system fluency and 6-year battery health, your phone is engineered to deliver a ""like-new"" experience for years to come."
https://www.amazon.in/OnePlus-Snapdragon-Segments-Fastest-Response/dp/B0GWLDWKF3/ref=cs_sr_dp_2,"OnePlus Nord CE6 | 8GB+256GB | Fresh Blue | Snapdragon 7s Gen 4 | Segment's Fastest Touch Response | 8000mAh Battery | 144Hz 1.5K AMOLED Display | 50MP Main + 32MP Selfie 4K Cameras | IP66,68,69,69K",₹36999.,₹334.95,16%,https://m.media-amazon.com/images/I/61EC3mmirsL._SL1500_.jpg,4.2 out of 5 stars,"(1,092)",OnePlus,"Supercharged by Snapdragon 7s Gen 4 (Antutu 1.17 million+): Engineered for snappy-smooth performance, OnePlus Nord CE6 unleashes up to 144 FPS gameplay in optimised titles. Experience up to 6 hours of steady BGMI sessions with consistent, high-speed performance that never compromises. | Segment's Fastest Touch Response: Built for ultra-responsive gameplay, OnePlus Nord CE6 delivers industry-leading 3200Hz instant touch sampling rate, ensuring faster inputs, precise control, and a competitive edge in every move. | 8000mAh “2.5+ Days"" Battery: Experience 10 hours of BGMI, 17.5 hours of GPS, or 30 hours of streaming on a single charge. It doubles as a power bank to charge anything via 27W reverse charging, while 80W SUPERVOOC gets you back in action with hours of use from just minutes of charging. | 144Hz 1.5K AMOLED Display: Enjoy ultra-fluid scrolling and gameplay with a 144Hz refresh rate for seamless interaction. From being crystal-clear in direct sunlight (1800 nits HBM) to being gentle on your eyes at night (3840Hz high-frequency PWM), this display is designed for unmatched clarity, day or night. | 4K Front and Back Clarity: 50MP 4K main camera with dual-axis OIS for stable, detailed shots and videos. 32MP 4K selfie camera with autofocus and 90° wide-angle capture for perfect groufies, even in low light. Elevate your photos with OnePlus AI like AI Portrait Glow, AI Perfect Shot, AI Eraser, AI Unblur, and more. | Military-grade Durability with IP66,68,69,69K: Certified with the industry's most complete IP ratings, the Nord CE6 is built to resist deep immersion, hot water, and high-pressure jets. It has passed rigorous american military-grade standards, proven to survive being burnt, frozen, salt-corroded, and dropped over 25 times onto steel surfaces for total reliability. | Smoothness for 6 Years, Built to Last: Powered by the latest OxygenOS 16, the Nord CE6 stays fast and smooth for work, study, and play. With a Rated A system fluency and 6-year battery health, your phone is engineered to deliver a ""like-new"" experience for years to come."
https://www.amazon.in/OnePlus-Snapdragon-Segments-Fastest-Response/dp/B0GWLJL55D/ref=cs_sr_dp_3,"OnePlus Nord CE6 | 8GB+256GB | Pitch Black | Snapdragon 7s Gen 4 | Segment's Fastest Touch Response | 8000mAh Battery | 144Hz 1.5K AMOLED Display | 50MP Main + 32MP Selfie 4K Cameras | IP66,68,69,69K",₹36999.,N/A,16%,https://m.media-amazon.com/images/I/61Di24QT6GL._SL1500_.jpg,4.2 out of 5 stars,"(1,092)",OnePlus,"Supercharged by Snapdragon 7s Gen 4 (Antutu 1.17 million+): Engineered for snappy-smooth performance, OnePlus Nord CE6 unleashes up to 144 FPS gameplay in optimised titles. Experience up to 6 hours of steady BGMI sessions with consistent, high-speed performance that never compromises. | Segment's Fastest Touch Response: Built for ultra-responsive gameplay, OnePlus Nord CE6 delivers industry-leading 3200Hz instant touch sampling rate, ensuring faster inputs, precise control, and a competitive edge in every move. | 8000mAh “2.5+ Days"" Battery: Experience 10 hours of BGMI, 17.5 hours of GPS, or 30 hours of streaming on a single charge. It doubles as a power bank to charge anything via 27W reverse charging, while 80W SUPERVOOC gets you back in action with hours of use from just minutes of charging. | 144Hz 1.5K AMOLED Display: Enjoy ultra-fluid scrolling and gameplay with a 144Hz refresh rate for seamless interaction. From being crystal-clear in direct sunlight (1800 nits HBM) to being gentle on your eyes at night (3840Hz high-frequency PWM), this display is designed for unmatched clarity, day or night. | 4K Front and Back Clarity: 50MP 4K main camera with dual-axis OIS for stable, detailed shots and videos. 32MP 4K selfie camera with autofocus and 90° wide-angle capture for perfect groufies, even in low light. Elevate your photos with OnePlus AI like AI Portrait Glow, AI Perfect Shot, AI Eraser, AI Unblur, and more. | Military-grade Durability with IP66,68,69,69K: Certified with the industry's most complete IP ratings, the Nord CE6 is built to resist deep immersion, hot water, and high-pressure jets. It has passed rigorous american military-grade standards, proven to survive being burnt, frozen, salt-corroded, and dropped over 25 times onto steel surfaces for total reliability. | Smoothness for 6 Years, Built to Last: Powered by the latest OxygenOS 16, the Nord CE6 stays fast and smooth for work, study, and play. With a Rated A system fluency and 6-year battery health, your phone is engineered to deliver a ""like-new"" experience for years to come."
https://www.amazon.in/Samsung-Sapphire-Storage-Upgrades-Lag-Free/dp/B0FN7RN9TH/ref=sr_1_6,"Samsung Galaxy M17 5G Mobile (Sapphire Black, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger",₹14499.,N/A,12%,https://m.media-amazon.com/images/I/714QJQZszoL._SL1500_.jpg,4.0 out of 5 stars,"(3,497)",Samsung,"Monster Camera - 50MP OIS (F1.8) Main Wide Angle Camera + 5MP (F2.2) Ultra Wide Angle Camera + 2MP Macro Angle Camera, 13MP (F2.0) Selfie Camera, Video Maximum Resolution of FHD (1920 x 1080) at 30fps. | Monster Durability and Design - Segment's Slimmest smartphone with 7.5mm stunning design. Be worry free with Segment's best durability with Gorilla Glass Victus and IP54 Rating. | AI Monster – Make your search intelligent with Circle to Search with Google and Gemini Live. Powerful Exynos 1330 Processor, Android 15 Operating System having One UI 7.0 platform, 2.4GHz, 2GHz Clock Speed with Octa-Core Processor, All 5G bands. | Monster Display - Captivating your viewing experience with 6.7 inches Super AMOLED Display, FHD+ Resolution with 1080 x 2340 Pixels and 90Hz Refresh Rate, Lag free gaming. | Monster Upgrades and Convenience - Segment best 6 years Security and OS Upgrades. Monster battery - Get a massive 5000mAh Battery with C-Type Fast Charging (25W Charging Support) for an uninterrupted mobile experience. Samsung Wallet with Tap and Pay and Knox Security."
https://www.amazon.in/Samsung-Sapphire-Storage-Upgrades-Lag-Free/dp/B0FN7TJYDK/ref=cs_sr_dp_2,"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",₹14499.,N/A,12%,https://m.media-amazon.com/images/I/71iOhPwpVoL._SL1500_.jpg,4.0 out of 5 stars,"(3,497)",Samsung,"Monster Camera - 50MP OIS (F1.8) Main Wide Angle Camera + 5MP (F2.2) Ultra Wide Angle Camera + 2MP Macro Angle Camera, 13MP (F2.0) Selfie Camera, Video Maximum Resolution of FHD (1920 x 1080) at 30fps. | Monster Durability and Design - Segment's Slimmest smartphone with 7.5mm stunning design. Be worry free with Segment's best durability with Gorilla Glass Victus and IP54 Rating. | AI Monster – Make your search intelligent with Circle to Search with Google and Gemini Live. Powerful Exynos 1330 Processor, Android 15 Operating System having One UI 7.0 platform, 2.4GHz, 2GHz Clock Speed with Octa-Core Processor, All 5G bands. | Monster Display - Captivating your viewing experience with 6.7 inches Super AMOLED Display, FHD+ Resolution with 1080 x 2340 Pixels and 90Hz Refresh Rate, Lag free gaming. | Monster Upgrades and Convenience - Segment best 6 years Security and OS Upgrades. Monster battery - Get a massive 5000mAh Battery with C-Type Fast Charging (25W Charging Support) for an uninterrupted mobile experience. Samsung Wallet with Tap and Pay and Knox Security."
